keyge,group_id,category_id,description
lithium,3,12,Lithium
beryllium,3,12,Beryllium
sodium,3,12,Sodium
magnesium,3,12,Magnesium
aluminum,3,12,Aluminum
potassium,3,12,Potassium
calcium,3,12,Calcium
scandium,3,12,Scandium
titanium,3,12,Titanium
vanadium,3,12,Vanadium
chromium,3,12,Chromium
manganese,3,12,Manganese
iron,3,12,Iron
cobalt,3,12,Cobalt
nickel,3,12,Nickel
copper,3,12,Copper
zinc,3,12,Zinc
gallium,3,12,Gallium
rubidium,3,12,Rubidium
strontium,3,12,Strontium
yttrium,3,12,Yttrium
zirconium,3,12,Zirconium
niobium,3,12,Niobium
molybdenum,3,12,Molybdenum
technetium,3,12,Technetium
ruthenium,3,12,Ruthenium
rhodium,3,12,Rhodium
palladium,3,12,Palladium
silver,3,12,Silver
cadmium,3,12,Cadmium
indium,3,12,Indium
tin,3,12,Tin
cesium,3,12,Cesium
barium,3,12,Barium
lanthanum,3,12,Lanthanum
cerium,3,12,Cerium
praseodymium,3,12,Praseodymium
neodymium,3,12,Neodymium
promethium,3,12,Promethium
samarium,3,12,Samarium
europium,3,12,Europium
gadolinium,3,12,Gadolinium
terbium,3,12,Terbium
dysprosium,3,12,Dysprosium
holmium,3,12,Holmium
erbium,3,12,Erbium
thulium,3,12,Thulium
ytterbium,3,12,Ytterbium
lutetium,3,12,Lutetium
hafnium,3,12,Hafnium
tantalum,3,12,Tantalum
tungsten,3,12,Tungsten
rhenium,3,12,Rhenium
osmium,3,12,Osmium
iridium,3,12,Iridium
platinum,3,12,Platinum
gold,3,12,Gold
mercury,3,12,Mercury
thallium,3,12,Thallium
lead,3,12,Lead
bismuth,3,12,Bismuth
polonium,3,12,Polonium
francium,3,12,Francium
radium,3,12,Radium
actinium,3,12,Actinium
thorium,3,12,Thorium
protactinium,3,12,Protactinium
uranium,3,12,Uranium
neptunium,3,12,Neptunium
plutonium,3,12,Plutonium
americium,3,12,Americium
curium,3,12,Curium
berkelium,3,12,Berkelium
californium,3,12,Californium
einsteinium,3,12,Einsteinium
fermium,3,12,Fermium
mendelevium,3,12,Mendelevium
nobelium,3,12,Nobelium
lawrencium,3,12,Lawrencium
rutherfordium,3,12,Rutherfordium
dubnium,3,12,Dubnium
seaborgium,3,12,Seaborgium
bohrium,3,12,Bohrium
hassium,3,12,Hassium
meitnerium,3,12,Meitnerium
darmstadtium,3,12,Darmstadtium
roentgenium,3,12,Roentgenium
copernicium,3,12,Copernicium
nihonium,3,12,Nihonium
flerovium,3,12,Flerovium
moscovium,3,12,Moscovium
livermorium,3,12,Livermorium